dataset_id	method_id	dataset_loader	dataset_group	method_group	metric_id	value
10x_pbmc_unsorted_3k_JE	dummy_zeros	10x	JE	dummy	asw_batch	1
azimuth_ref_JE	baseline_lmds	azimuth	JE	baseline	asw_batch	0.8891777532321101
azimuth_ref_JE	baseline_mnn	azimuth	JE	baseline	asw_batch	0
azimuth_ref_JE	baseline_pca	azimuth	JE	baseline	asw_batch	0
azimuth_ref_JE	baseline_umap	azimuth	JE	baseline	asw_batch	0
azimuth_ref_JE	dummy_random	azimuth	JE	dummy	asw_batch	0.9875991723581106
azimuth_ref_JE	dummy_solution	azimuth	JE	dummy	asw_batch	0
azimuth_ref_JE	dummy_zeros	azimuth	JE	dummy	asw_batch	1
babel_GM12878_JE	baseline_lmds	babel	JE	baseline	asw_batch	0.6425896645530916
babel_GM12878_JE	baseline_mnn	babel	JE	baseline	asw_batch	0.7810676108541313
babel_GM12878_JE	baseline_pca	babel	JE	baseline	asw_batch	0
babel_GM12878_JE	baseline_umap	babel	JE	baseline	asw_batch	0
babel_GM12878_JE	dummy_random	babel	JE	dummy	asw_batch	0.9815937913163607
babel_GM12878_JE	dummy_solution	babel	JE	dummy	asw_batch	0.41557538953177825
babel_GM12878_JE	dummy_zeros	babel	JE	dummy	asw_batch	1
dyngen_atac_1_JE	baseline_lmds	dyngen	JE	baseline	asw_batch	0.3354834114700561
dyngen_atac_1_JE	baseline_mnn	dyngen	JE	baseline	asw_batch	0.6766888888119669
dyngen_atac_1_JE	baseline_pca	dyngen	JE	baseline	asw_batch	0.5242798397940516
dyngen_atac_1_JE	baseline_umap	dyngen	JE	baseline	asw_batch	0.09238613249789912
dyngen_atac_1_JE	dummy_random	dyngen	JE	dummy	asw_batch	0.993319581811228
dyngen_atac_1_JE	dummy_solution	dyngen	JE	dummy	asw_batch	0.953985697338765
dyngen_atac_1_JE	dummy_zeros	dyngen	JE	dummy	asw_batch	1
dyngen_atac_2_JE	baseline_lmds	dyngen	JE	baseline	asw_batch	0.3694740167708699
dyngen_atac_2_JE	baseline_mnn	dyngen	JE	baseline	asw_batch	0.7950445709463771
dyngen_atac_2_JE	baseline_pca	dyngen	JE	baseline	asw_batch	0.5900113835343974
