dataset_id	method_id	dataset_loader	dataset_group	method_group	metric_id	value
10x_pbmc_unsorted_3k_JE	dummy_zeros	10x	JE	dummy	asw_batch	1
azimuth_ref_JE	baseline_lmds	azimuth	JE	baseline	asw_batch	0
azimuth_ref_JE	baseline_mnn	azimuth	JE	baseline	asw_batch	0
azimuth_ref_JE	baseline_pca	azimuth	JE	baseline	asw_batch	0
azimuth_ref_JE	baseline_umap	azimuth	JE	baseline	asw_batch	0
azimuth_ref_JE	dummy_random	azimuth	JE	dummy	asw_batch	0.9870897787997117
azimuth_ref_JE	dummy_solution	azimuth	JE	dummy	asw_batch	0
azimuth_ref_JE	dummy_zeros	azimuth	JE	dummy	asw_batch	1
babel_GM12878_JE	baseline_lmds	babel	JE	baseline	asw_batch	0.6393306358973864
babel_GM12878_JE	baseline_mnn	babel	JE	baseline	asw_batch	0
babel_GM12878_JE	baseline_pca	babel	JE	baseline	asw_batch	0
babel_GM12878_JE	baseline_umap	babel	JE	baseline	asw_batch	0
babel_GM12878_JE	dummy_random	babel	JE	dummy	asw_batch	0.9772030857946158
babel_GM12878_JE	dummy_solution	babel	JE	dummy	asw_batch	0
babel_GM12878_JE	dummy_zeros	babel	JE	dummy	asw_batch	1
dyngen_atac_1_JE	baseline_lmds	dyngen	JE	baseline	asw_batch	0.3441361016949984
dyngen_atac_1_JE	baseline_mnn	dyngen	JE	baseline	asw_batch	0.8436128531298723
dyngen_atac_1_JE	baseline_pca	dyngen	JE	baseline	asw_batch	0.30494966712710103
dyngen_atac_1_JE	baseline_umap	dyngen	JE	baseline	asw_batch	0.10204515634842337
dyngen_atac_1_JE	dummy_random	dyngen	JE	dummy	asw_batch	0.9931028833442838
dyngen_atac_1_JE	dummy_solution	dyngen	JE	dummy	asw_batch	0.906958903353145
dyngen_atac_1_JE	dummy_zeros	dyngen	JE	dummy	asw_batch	1
dyngen_atac_2_JE	baseline_lmds	dyngen	JE	baseline	asw_batch	0.2865788975267404
dyngen_atac_2_JE	baseline_mnn	dyngen	JE	baseline	asw_batch	0.6685501055853217
dyngen_atac_2_JE	baseline_pca	dyngen	JE	baseline	asw_batch	0.47412435019087
dyngen_atac_2_JE	baseline_umap	dyngen	JE	baseline	asw_batch	0.10396692897959275
dyngen_atac_2_JE	dummy_random	dyngen	JE	dummy	asw_batch	0.9940775119278709
dyngen_atac_2_JE	dummy_solution	dyngen	JE	dummy	asw_batch	0.8935047916265936
dyngen_atac_2_JE	dummy_zeros	dyngen	JE	dummy	asw_batch	1
dyngen_atac_3_JE	baseline_lmds	dyngen	JE	baseline	asw_batch	0.24432661219996749
dyngen_atac_3_JE	baseline_mnn	dyngen	JE	baseline	asw_batch	0.7328975942417171
dyngen_atac_3_JE	baseline_pca	dyngen	JE	baseline	asw_batch	0.4999331411701348
dyngen_atac_3_JE	baseline_umap	dyngen	JE	baseline	asw_batch	0.11562728853721578
dyngen_atac_3_JE	dummy_random	dyngen	JE	dummy	asw_batch	0.9928248147337948
dyngen_atac_3_JE	dummy_solution	dyngen	JE	dummy	asw_batch	0.900021766029812
dyngen_atac_3_JE	dummy_zeros	dyngen	JE	dummy	asw_batch	1
dyngen_citeseq_1_JE	baseline_lmds	dyngen	JE	baseline	asw_batch	0.3043122755684393
dyngen_citeseq_1_JE	baseline_mnn	dyngen	JE	baseline	asw_batch	0.711886819687105
dyngen_citeseq_1_JE	baseline_pca	dyngen	JE	baseline	asw_batch	0.34330245676437343
dyngen_citeseq_1_JE	baseline_umap	dyngen	JE	baseline	asw_batch	0.09233694858362841
dyngen_citeseq_1_JE	dummy_random	dyngen	JE	dummy	asw_batch	0.9938412025175409
dyngen_citeseq_1_JE	dummy_solution	dyngen	JE	dummy	asw_batch	0.9279056259576544
dyngen_citeseq_1_JE	dummy_zeros	dyngen	JE	dummy	asw_batch	1
dyngen_citeseq_2_JE	baseline_lmds	dyngen	JE	baseline	asw_batch	0.32293218929822914
dyngen_citeseq_2_JE	baseline_mnn	dyngen	JE	baseline	asw_batch	0.6988717790702215
dyngen_citeseq_2_JE	baseline_pca	dyngen	JE	baseline	asw_batch	0.487943718589722
dyngen_citeseq_2_JE	baseline_umap	dyngen	JE	baseline	asw_batch	0.08334292024642087
dyngen_citeseq_2_JE	dummy_random	dyngen	JE	dummy	asw_batch	0.9929910586002418
